 ✈️ The Maddening Mess of Airport Codes! ✈️  	 7.5 - This title is somewhat clickbaity because it uses an exclamation point and an emoji to draw attention, but it does not make any false promises or use any extreme language.
 What's Inside the DON'T DIE BOX???  	 10.0 - This title is extremely clickbaity as it uses all caps and multiple punctuation marks to draw attention and create a sense of urgency.
 The Simple Secret of Runway Digits  	  7.5 - Somewhat clickbaity. The title implies that there is a secret to runway digits that is simple to understand, which is likely not the case.
 🚛 🚗 The Interstate's Forgotten Code 🚗 🚛  	 7.5 - This title is somewhat clickbaity because it uses symbols and capitalization to draw attention, but it does not make any promises or use any extreme language.
 This Journal Keeps Me Productive (& Maybe You Too)  	 7.5 - This title is somewhat clickbaity because it implies that the journal can help the reader become more productive, but it does not make any false promises.
 Testing Tesla on the Deadliest Road in America 🐉  	  7.5 - Somewhat clickbaity. The title is attention-grabbing and implies a certain level of danger, but it does not make any promises or exaggerations.
 UNCUT: Tesla Self-Driving Beta on Urban Roads  	 7.5 - This title is somewhat clickbaity because it implies that the video contains exclusive footage of a Tesla self-driving car on urban roads, which could be intriguing to viewers.
 UNCUT: Tesla Self-Driving Beta on The Dragon's Tail  	 7.5 - This title is somewhat clickbaity because it uses capitalization and punctuation to draw attention to the content, but it does not make any exaggerated claims or use any sensational language.
 Someone Dead Ruined My Life… Again.  	 7.5 - This title is somewhat clickbaity because it is designed to draw attention and evoke emotion, but it is not as extreme as a 10.0 score would indicate.
 Physical Characteristics of the Tiffanys  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 💖 The Tale of Tiffany 💖  	 7.5 - This title is somewhat clickbaity because it uses an emoticon and the word "Tale" to draw attention and create a sense of intrigue.
 Getting Vaccinated at the Coolest Place 😎  	  7.5 - Somewhat clickbaity. The title is designed to draw attention with the use of an emoji and the word "coolest" to make the reader curious.
 The Battle of SHARKS!  	 7.5 - Somewhat clickbaity. The title is designed to draw attention and create a sense of excitement, but it is not overly sensationalized.
 A Crime Against Childhood  	  7.5 (Somewhat clickbaity; the title implies a serious crime has been committed against children, which could be interpreted as an exaggeration.)
 Metric Paper  	  0.0 Not clickbaity at all. The title is very neutral and does not contain any sensational language or phrases.
 Ten Years Later  	  2.5 - Not particularly clickbaity. The title does not contain any sensational language or promise of a shocking reveal.
 Cycling in An Empty City is Eerie Magic  	 7.5 - Somewhat clickbaity. The title is intriguing and suggests a unique experience, but does not make any promises or exaggerations.
 ❄️🇬🇧 London Snow Day 🇬🇧❄️  	 7.5 - This title is somewhat clickbaity because it uses emoticons and capital letters to draw attention to the content.
 🎄🔎 A Sherlock Holmes Christmas: Grey Reads The Adventure of the Blue Carbuncle 🔍🎄  	 7.5 - This title is somewhat clickbaity because it uses symbols and capitalization to draw attention, as well as mentioning a popular character.
 The Theme System Journal  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Hexagons are the Bestagons  	  7.5 - Somewhat clickbaity. The title is catchy and attention-grabbing, but it does not make any promises or exaggerations.
 🦠 Grey Reads "The Masque of the Red Death" for Pandemicween 🦠  	  7.5 - Somewhat clickbaity. The title uses an attention-grabbing emoji and a pun to draw readers in.
 🎃 Grey Reads "The Yellow Wallpaper" 🎃  	 7.5 - This title is somewhat clickbaity because it uses an emoji and capitalization to draw attention to the content.
 🎃 Grey Reads "The Monkey's Paw" 🎃  	 7.5 - This title is somewhat clickbaity because it uses an emoji and capitalization to draw attention to the content.
 The Most Deadly Job in America  	 10.0 - This title is very clickbaity because it uses extreme language and sensationalism to draw attention and evoke an emotional response.
 Grey Reads The 25th Amendment  	 2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language or phrases.
 Supreme Court Shenanigans !!!  	  7.5 - Somewhat clickbaity. The title is attention-grabbing and uses exclamation points to draw the reader in.
 TOP SNEAKY STAMP!!!  	 10.0 - This title is very clickbaity because it uses all caps and multiple exclamation points to draw attention and create a sense of urgency.
 Thinking About Lockdowns  	  2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language.
 Weekend Wednesday  	 2.5 - Not particularly clickbaity. The title is a bit of a play on words, but it does not contain any sensational language or promises of something extraordinary.
 CGP Grey was WRONG  	 2.5 - Not particularly clickbaity. The title is provocative, but it does not make any promises or exaggerations.
 Behind the Scenes of TEKOI  	  2.5 - Not particularly clickbaity. The title does not contain any sensational language or promises of something extraordinary.
 This abandoned shed may yet help end the world  	  2.5 - Not particularly clickbaity. The title is intriguing, but does not make any promises or exaggerations.
 Tesla vs Tumbles, Reloaded  	  7.5 - Somewhat clickbaity. The title is designed to draw attention and create a sense of competition between two entities.
 Supreme Court BANS Faithless Electors…………...?  	 7.5 - This title is somewhat clickbaity because it implies that the Supreme Court has taken a definitive action, when in reality the Supreme Court has only issued an opinion.
 How to be a Pirate Quartermaster. 📈 💎 📈  	 2.5. This title is not particularly clickbaity because it is straightforward and does not make any exaggerated claims. The emojis may make it more eye-catching, but they do not make it clickbaity.
 How to be a Pirate Captain! 🌈  ☠️ 🌈  	 7.5 - This title is somewhat clickbaity because it uses emojis and an exciting phrase to draw attention and create curiosity.
 Abandoned Nuclear Weapon Facility Exploration  	  2.5 - Not particularly clickbaity. While the title is intriguing, it does not contain any sensational language or promises of something extraordinary.
 Spaceship You  	  5.0 - Neutral. The title does not contain any clickbait elements.
 Inside Colorado's Weed Research Lab  	  7.5 - Somewhat clickbaity. The title implies that there is something interesting and unique going on inside the lab, which could be seen as clickbaity.
 The Trouble With Tumbleweed  	 2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language.
 Behind the Scenes of: Runway Digits  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Your Theme  	  2.5 - Not particularly clickbaity. The title does not contain any sensational language or promises of a dramatic outcome.
 YouTube vs Grey: A Ballad of Accidental Suspension  	 2.5 - Not particularly clickbaity. The title is descriptive and does not use any sensational language.
 'Indian' or 'Native American'?  [Reservations, Part 0]  	 2.5. This title is not particularly clickbaity because it is asking a question and providing context for the topic. It does not use sensational language or promise a shocking outcome.
 The Sneaky Plan to Subvert the Electoral College for the Next Election  	 7.5 - This title is somewhat clickbaity because it implies that there is a plan to subvert the electoral college, which could be seen as a controversial or provocative topic.
 Electoral College & Apportionment Spreadsheet!  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 🌍 Which Planet is the Closest?  	  2.5 - Not particularly clickbaity. The title is not sensationalized and does not make any promises of a shocking answer.
 Re: Which Planet is the Closest?  	  2.5 - Not particularly clickbaity. This title is not particularly sensationalized or attention-grabbing.
 The Future of the Channel, and You  	 2.5 - Not particularly clickbaity. The title is informative and does not use sensational language or promise something extraordinary.
 The Race to Win Staten Island  	  7.5 - Somewhat clickbaity. The title implies a competition or urgency to win something, which could be interpreted as clickbaity.
 No Flag Northern Ireland  	  2.5 - Not particularly clickbaity. The title is straightforward and does not contain any sensational language.
 Road Trip After Eight Years Without Driving  	 2.5 - Not particularly clickbaity. The title is descriptive and does not contain any sensational language.
 Road Trip Time Lapse Across The Loneliest Road  	 2.5 - Not particularly clickbaity. The title is descriptive and does not contain any sensational language.
 Road Trip Part 1: Entering The Loneliest Road  	 2.5 - Not particularly clickbaity. The title does not contain any sensational language or promises of something extraordinary.
 Road Trip Part 2: The Long Dark  	 2.5 - Not particularly clickbaity. The title does not contain any sensational language or promises of something extraordinary.
 Road Trip Part 3: Red Desert  	 2.5. This title is not particularly clickbaity because it does not contain any sensational language or promises of something extraordinary.
 Road Trip Part 4: Moab to Las Vegas  	  2.5 - Not particularly clickbaity. The title is descriptive and does not contain any sensational language.
 Road Trip Part 5: Destination LA  	 2.5 - Not particularly clickbaity. The title is descriptive and does not contain any sensational language or promises of something extraordinary.
 Q&A With Grey: Favorites Edition  	 7.5 - This title is somewhat clickbaity because it is using a celebrity name to draw attention and it is phrased in a way that implies there is something special or exclusive about the content.
 🇬🇧🔥 Brexit, Briefly: REVISITED! 🔥🇪🇺  	 7.5 - This title is somewhat clickbaity because it uses an attention-grabbing phrase ("REVISITED!") and symbols (🇬🇧🔥🔥🇪🇺) to draw readers in.
 The EU's 'SECRET' Brexit Negotiation EXPOSED 🙄  	 9.0 - Very clickbaity. The use of all caps and an eye-rolling emoji suggest the content is sensationalized and exaggerated.
 The Better Boarding Method Airlines Won't Use  	  7.5 - Somewhat clickbaity. The title implies that airlines are not using a better boarding method, which could be seen as a criticism of the airline industry.
 Airline Boarding Methods  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Footnote * from How to Become Pope  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Footnote † from How to Become Pope  	 2.5. This title is not particularly clickbaity because it does not make any sensational claims or promises. It is simply providing information about a footnote from a specific article.
 Footnote ‡ from How to Become Pope  	 2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Footnote * from "The Debt Ceiling Explained"  	 2.5. This title is not particularly clickbaity because it is straightforward and does not use any sensational language or phrases to draw attention.
 Footnote † from "The Debt Ceiling Explained"  	 2.5. This title is not particularly clickbaity because it is providing a specific reference to a source of information, rather than making a sensationalized claim.
 Why Nevada Owns Less than 20% of Nevada  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
 Who Owns The Statue of Liberty?  	 2.5. This title is not particularly clickbaity because it is a straightforward question that does not use sensational language or promise a shocking answer.
 Q&A With Grey: Just Because Edition  	 7.5 - This title is somewhat clickbaity because it is using a question and answer format to draw attention and curiosity. It also uses the phrase "Just Because" to add an element of surprise and intrigue.
 Summer of Grey: Parts 1 & 3  	 2.5 - Not particularly clickbaity. The title does not contain any sensational language or promises of a shocking reveal.
 Fable of the Dragon-Tyrant  	  2.5 - Not particularly clickbaity. The title is intriguing but does not contain any sensational language or promises of something extraordinary.
 How Machines Learn  	  2.5 - Not particularly clickbaity. The title is informative and does not contain any sensational language.
